"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","598.164184467477","635.996669483788","639.726216891361","633.663199287706","618.374088269","547.560812644624","512.624463632052","513.212349148801","533.345692086947","522.752475828424","519.115060396355","528.311161556767","544.794496504169","531.68740526714","551.432352583733","552.917767300071","579.571321325558","593.463755948817","608.67043831072","604.367850922486","613.649848956193","628.667677982637","638.873181633008","687.365920077706","724.360357491385","797.426234406883","771.987433717541","761.26925722129","753.455516066195","779.197990653363","786.515830674648","836.665571337829","888.518158386925","919.597971491806","949.834613118208",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18675.3121947985","19587.8553500426","20258.5474461442","20459.1891478373","21504.01177389","22431.459360451","22736.7580685985","23727.8975208193","24368.7574088239","25440.8411888638","27788.0908832256","28796.5795804462","30282.2886450283","30934.5826454577","32063.9826949865","33177.8909458158","35258.985063203","36799.5318686343","37883.3319417819","37885.9059125602","39844.4054386496","41244.8495035213","42483.5250666788","43864.1204196838","45147.6429534057","46084.2424551717","48414.5518065681","50256.0631772784","52466.7330784599","56712.469571978","56120.0958420466","60669.2137746531","68157.8347860761","69059.1768269112","72126.0028888089",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1186.11606902616","1239.22499734744","1265.25241875078","1311.34449338815","1316.24432539105","1395.26644444059","1443.96771280369","1507.92415400422","1537.14382552758","1592.13782139447","1671.35725172854","1745.98256227696","1799.88269639499","1841.60297283874","1915.34644346381","1945.56414052296","2020.60567734722","2135.53787873721","2215.35163859542","2213.32895620809","2220.32854611489","2264.84186926384","2346.08416204547","2511.65309588333","2670.41561399187","2725.33724817144","2842.0246258376","2885.89383987721","2965.30628143664","3148.97969597838","3244.58772756805","3464.2886286745","3844.15415745816","4129.9661200142","4434.5642184028",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","566.944147291823","623.26800170847","623.38499529255","644.03546436099","649.842407598738","683.639151581195","753.30916674031","793.970841435486","838.079355290011","886.434090650903","896.477481510815","947.919374676953","973.983933383218","1037.83799374653","1079.00009142751","1171.76432319587","1244.00243844319","1290.49951017424","1351.36041569133","1359.69224907302","1449.42216382921","1531.34338243982","1571.83884477315","1642.89213125776","1661.31773793757","1691.57935387408","1881.75893134407","2042.40295259917","2073.3235382155","2232.16282016585","2380.72282781802","2486.43093147762","2641.87011276968","2754.71346543427","2896.18741593759",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","940.65447083893","987.313199448192","1044.89188613062","1099.38588803798","1145.110166087","1206.36646705186","1260.7548952152","1315.46923329136","1372.95383934707","1429.9864525185","1511.90500588844","1597.58740614435","1658.80230934569","1746.12725782298","1861.51256285455","2019.73839563431","2195.29485460994","2388.10025160357","2554.85788238719","2675.25945926785","2833.69544368864","3051.26983271811","3434.27815090447","3691.10431102117","3972.50647733491","4212.23578089428","4579.13228682862","4882.60692615639","5490.15881865179","6047.12401504125","6640.58437331062","7441.06913961254","8450.54902533941","9147.7775066555","9646.76984383255",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7545.58520326448","7213.04782839566","6914.76503817232","7029.73872085994","7335.23504150103","7737.75681736123","6846.44288284004","5749.3646083913","6177.63560513813","5807.81319081372","6422.7893292648","6961.03996834328","7786.42174530197","8417.47073315879","9201.73973840534","10291.4458776203","11408.0495155875","12822.3130489488","14346.8758795014","14180.7280705653","14955.9157788275","15747.4201648316","16327.2877371365","16893.8166887927","17990.8269577441","18901.1716985864","20745.4005041383","22316.9752017217","24053.2540736361","26814.4717117337","27376.7783677501","30973.6942070222","35816.49168179","37507.659899221","41086.3036455051",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26902.061145816","31657.3640438852","33648.226872634","37869.5046366226","37579.1686459873","38839.4365183712","40105.8476952372","40965.3457278065","42281.2952059673","43560.5377467354","45687.5217405647","46161.5758464288","45091.4894218656","45426.9345932944","46317.0284804025","47268.2721612188","48009.4917421504","49347.494619615","50330.3248622522","48625.6569231596","49254.5770084238","52677.4511190668","56712.5692656153","56310.3117458189","54299.0564613228","48034.2468880503","47428.9018907649","50184.5005767301","51993.1307818652","56599.5214364411","53436.0316999712","54954.6757895532","61677.6538492695","64171.0857359052","67210.9890947485",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19817.339774295","19296.1081775166","18635.8991073176","18780.8700722905","19440.9085977394","20377.3196984898","21287.3380277699","21606.2277023287","22555.7697964727","24183.56794214","25421.6022088567","26351.0545366431","27171.2862553225","27030.8748921608","27659.5153978102","29142.8764518234","30401.4828969568","31232.1059028336","30678.601534921","29196.5940377704","29624.9512261144","30073.6524057011","31035.5500568874","30294.4768305201","31726.1740873862","32137.5784729905","32285.2760366069","34282.1710357791","35227.7619063243","36116.0002025353","27204.625909518","31064.6822166194","36791.253079207","39090.1665080164","41197.9183829907",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1042.54531966483","974.925223501359","982.24804233293","1066.76199243495","1269.0276421518","1506.5085305779","2268.08053840007","3040.39537298471","3523.08246563748","3874.34135632972","4147.03813509401","4307.12311817515","4664.68512072","4917.86402408479","5408.16150474843","5955.8392069065","6870.5065279752","7686.4139346005","8586.77804781181","8693.61839746895","9086.74853515985","9761.51519578686","10121.1556428302","10808.3117463605","11167.8674881233","11848.6326084163","12899.1035971919","13626.9153096589","14858.2798898982","16428.3934782061","16369.9341410765","18286.7226290133","21117.2830770518","22512.434413542","21971.1489154448",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5220.47473129123","5329.79781214848","4917.1211552976","4640.85663610523","4190.32388933263","3845.70681830187","4039.34042394134","4596.48615766945","5061.33499468298","5331.41743967857","5795.65223965525","6238.09862731186","6697.15436370369","7361.72161495105","8482.92020586886","9636.89112345633","10994.5981274448","12320.0240249058","13886.1314098697","14034.1911206837","15339.0999026403","16563.2014078209","18114.7508606708","19014.0529737698","19037.8847440186","18133.5313085883","17832.4778855815","18413.747563367","20025.9815543598","22301.5932411839","24872.3066744528","27611.1801135157","28429.4948814534","30834.1773660201","33006.4166677827",
